scientificName,subtitle,allianceType,fullName,link,MCV (1995),NVCS (2009),Calveg,Holland,Munz,WHR,CDFW CA Code,Formation Class,Formation Subclass,Formation,Division,Macro Group,Group,Life forms,Seed storage,Seed longevity,Mode of dispersal,Germination agents,Mode of sprouting,Survivability after fire/disturbance,Disturbance-stimulated flowering,Recruitment,Fire return interval,Seasonality,Size/extent,Complexity,Intensity,Severity,Type,Regional knowledge
Yucca brevifolia,Joshua tree woodland,Woodland Alliance,Yucca brevifolia Woodland Alliance,https://vegetation.cnps.org/alliance/99,Joshua tree series,"Yucca brevifolia wooded herbaceous alliance, Yucca brevifolia wooded shrubland alliance",Joshua tree,"Mojave mixed woody scrub, Mojave mixed steppe, Joshua tree woodland",Joshua tree woodland,Joshua tree,33.170.00,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),Warm Semi-Desert Scrub and Grassland,Warm Semi-Desert Scrub and Grassland,Sonoran and Chihuahuan Semi-Desert Scrub and Grassland,Mojavean-Sonoran Desert Scrub,Mojavean upper desert scrub,"Shrub; evergreen; rhizomatous, clonal",Soil,Short to medium,Animal; wind,Stratification—winter? (improves germination),Underground structures (weak),Fire-sensitive; no/low sprouter,No,Low,Long,Spring-summer-fall,Medium to large,Multiple,Moderate,Moderate to high,Passive-active crown fire,Southeastern California deserts
Washingtonia filifera,California fan palm oasis,Woodland Alliance,Washingtonia filifera Woodland Alliance,https://vegetation.cnps.org/alliance/98,Fan palm series,Washingtonia filifera seasonally flooded woodland alliance,Fan palm,Desert fan palm oasis woodland,Creosote bush scrub,Palm oasis,61.520.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Warm Temperate Flooded and Swamp Forest,"Southwestern North American Riparian, Flooded and Swamp Forest",Southwestern North American riparian evergreen and deciduous woodland,Tree; evergreen,Soil,Medium,Animal; water,,None,Fire-hardy; high sprouter,No,High,,Any season,,,Low,Low,,
Umbellularia californica,California bay forest and woodland,Forest & Woodland Alliance,Umbellularia californica Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/97,California bay series,Umbellularia californica forest alliance,"Coastal mixed hardwood, California bay",California bay forest,Mixed evergreen forest,Coastal oak woodland,74.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,Tree; evergreen,Transient,Short,Animal; gravity; water/hydrological,None,Buds on large branches or trunks; underground structures,Fire-hardy; high sprouter,No,High,Medium (30-100+ years),Summer-early fall,Small to medium; up to or beyond stand size,Low to moderate,Low to high,Moderate to high,Surface-passive crown; passive-active crown,Coastal ranges
Tsuga mertensiana,Mountain hemlock forest and woodland,Forest & Woodland Alliance,Tsuga mertensiana Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/96,Mountain hemlock series,Tsuga mertensiana forest alliance,"Mountain hemlock, Subalpine conifers",Whitebark pine-mountain hemlock forest,Subalpine forest,Subalpine conifer,84.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian Subalpine Forest,Vancouverian mesic montane coniferous forest and woodland,Tree; evergreen,Transient,Short,Wind,Stratification—winter,Buds on small branches (layers),Fire-sensitive; high flammability; no/low sprouter; canopy architecture susceptible,No,Episodic,Long,Late summer (short),"Small, individual tree strikes or clumps of individuals is most common",High,Low,Low to high,Surface-passive crown,"Klamath Mountains, Cascades, Sierra Nevada"
Tsuga heterophylla,Western hemlock forest,Forest Alliance,Tsuga heterophylla Forest Alliance,https://vegetation.cnps.org/alliance/95,Western hemlock series,Pseudotsuga menziesii-Tsuga heterophylla forest alliance,Pacific Douglas-fir,"Western hemlock forest, Coastal Douglas-fir-western hemlock forest",Douglas fir forest,Douglas fir,84.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian  Rainforest,Vancouverian hypermaritime lowland rainforest,Tree; evergreen,Transient,Short,Wind,Stratification—winter,Buds on small branches,Fire-sensitive; thin epidermis; high flammability; no/low sprouter; canopy architecture susceptible,No,High,Truncated long,Summer-early fall,Small,Multiple,Multiple,Multiple,Multiple,North Coast
Sequoiadendron giganteum,Giant sequoia forest and woodland,Forest & Woodland Alliance,Sequoiadendron giganteum Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/94,Giant sequoia series,Sequoiadendron giganteum forest alliance,"Big tree (Giant sequoia), Mixed conifer-Giant sequoia",Big tree forest,Yellow pine forest,Sierran mixed conifer,86.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Californian-Vancouverian Montane and Foothill Forest,Californian montane conifer forest,Tree; evergreen,Canopy; transient,Short; long,Animal; wind,None,None,Fire-hardy; thick epidermis; low flammability; canopy architecture resistant,No,Episodic (fire dependent),Short (1-32 years),Summer-early fall,Small to medium,High,Low to moderate,Low to moderate,Surface-passive crown fire,Sierra Nevada
Sequoia sempervirens,Redwood forest and woodland,Forest & Woodland Alliance,Sequoia sempervirens Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/93,Redwood series,"Sequoia sempervirens forest alliance, Sequoia sempervirens-Pseudotsuga menziesii forest alliance","Redwood-Douglas-fir, Redwood","North Coast alluvial redwood forest, Upland redwood forest",Redwood forest,Redwood,86.100.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,Western North America Cool Temperate Forest,Vancouverian  Rainforest,Vancouverian hypermaritime lowland rainforest,Tree; evergreen,Transient,Short,Gravity; wind,None,Buds on large branches or trunk; underground structures,Fire-hardy; high sprouter,No,Low,Short to long,Summer-early fall,Small to medium,Moderate,Moderate,Low,Surface-passive crown fire,Central and North Coast ranges
"Schinus (molle, terebinthifolius) - Myoporum laetum",Pepper tree or Myoporum groves,Forest & Woodland Semi-Natural Alliance,"Schinus (molle, terebinthifolius) - Myoporum laetum Forest & Woodland Semi-Natural Alliance",https://vegetation.cnps.org/alliance/92,Not treated,Not treated,Non-native/ornamental hardwood,"Southern riparian forest, Southern riparian scrub",Not treated,Valley foothill riparian,79.200.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Cool Temperate Forest,North American Introduced Evergreen Broadleaf and Conifer Forest,Introduced North American Mediterranean woodland and forest,Introduced North American Mediterranean woodland and forest,,,,,,,,,,,,,,,,,
Salix lucida ssp. lasiandra,Shining willow groves,Forest & Woodland Alliance,Salix lucida ssp. lasiandra Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/91,Pacific willow series,"Salix lucida seasonally flooded forest alliance, Salix lucida temporarily flooded shrubland alliance, Salix lucida temporarily flooded woodland alliance","Willow, Willow-Alder","Freshwater swamp, Central Coast cottonwood-sycamore riparian forest, Southern cottonwood-willow riparian forest, Great Valley mixed riparian forest, Central Coast riparian scrub, Southern willow scrub, Great Valley willow scrub",Not treated,Valley foothill riparian,61.204.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Temperate Flooded and Swamp Forest,Western North America Flooded and Swamp Forest,Western Cordilleran montane-boreal riparian scrub,Vancouverian riparian deciduous forest,Tree; shrub; winter deciduous,Transient,Short,Water/hydrological; wind,None,Buds on small branches; underground structures,Fire-hardy; high sprouter,No,Low to medium; episodic,Dependent on neighboring alliance,Summer-early fall,Small; up to stand size,Low to high,Low to moderate,Low to moderate,Surface-passive crown fire,Southwestern California
Quercus wislizeni - Quercus parvula (tree),Interior live oak - shreve oak woodland and forest,Forest & Woodland Alliance,Quercus wislizeni - Quercus parvula (tree) Forest & Woodland Alliance,https://vegetation.cnps.org/alliance/88,Interior live oak series,Quercus wislizeni woodland alliance,Interior live oak,"Interior live oak woodland, Digger pine-oak woodland, Interior live oak forest",Northern oak woodland,"Blue oak woodland, Montane hardwood",71.080.00,Mesomorphic Tree Vegetation (Forest and Woodland),Temperate Forest,Warm Temperate Forest,Madrean Forest and Woodland,California Forest and Woodland,Californian broadleaf forest and woodland,"Tree, Shrub",,,,,,,,,Short to medium (5-15 years in open woodlands; 50-100 years in forests),Summer-early fall,Medium to large—up to stand size and larger,Low,Low to high,Low to high,Surface; passive crown,"Coast Ranges, Sierra Nevada foothills, southern California"
